预期输出法条：中华人民共和国婚姻法 第十七条  ,中华人民共和国合同法 第六十条第一款 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国公司法 第四十四条第一款  ,	文本相似度0.8857043981552124
预期输出法条：中华人民共和国侵权责任法 第三十五条 第十六条 第六条  ,最高人民法院关于民事诉讼证据的若干规定 第二条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十一条 第二十条 第二十五条  ,	预测结果：中华人民共和国合同法 第一百一十二条 第一百一十四条第一款 第六十条 第一百零七条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.9665639996528625
预期输出法条：中华人民共和国合同法 第一百一十四条 第六十条第一款 第一百零七条  ,中华人民共和国担保法 第十八条 第三十一条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条第一款  ,	预测结果：中华人民共和国合同法 第二百零五条 第二百零六条 第二百零七条  ,中华人民共和国担保法 第十八条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	文本相似度0.8085329532623291
预期输出法条：中华人民共和国民法通则 第四条  ,中华人民共和国民事诉讼法 第一百二十四条第（五）项  ,	预测结果：中华人民共国婚姻法 第三十二条  ,	文本相似度0.8871009945869446
预期输出法条：中华人民共和国侵权责任法 第四十八条 第十六条 第十九条 第六条  ,关于道路交通损害赔偿司法解释 第十四条 第十八条 第十五条  ,关于人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第二十四条 第十七条 第二十一条 第二十条 第二十五条  ,	预测结果：中华人民共和国侵权责任法 第四十八条 第十六条 第六条第一款  ,中华人民共和国道路交通安全法 第七十六条  ,关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第二十四条 第十七条 第二十一条 第二十条  ,中华人民共和国民事诉讼法 第六十四条 第一百四十二条  ,	文本相似度0.8894321322441101
预期输出法条：中华人民共和国民法通则 第一百零八条  ,中华人民共和国合同法 第二百零六条  ,中华人民共和国民事诉讼法 第一百四十四条  ,	预测结果：中华人民共和国侵权责任法 第三十五条 第十六条 第六条  ,最高人民法院关于民事诉讼证据的若干规定 第二条  ,最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十一条 第二十条 第二十五条  ,	文本相似度0.8886631727218628
预期输出法条：中华人民共和国侵权责任法 第四十八条 第十六条 第二十二条  ,中华人民共和国道路交通安全法 第七十六条  ,中华人民共和国保险法 第六十四条 第六十五条  ,	预测结果：中华人民共和国侵权责任法 第十六条 第三条  ,中华人民共和国道路交通安全法 第七十六条  ,关于审理人身损害赔偿案件适用法律若干问题的解释 第二十三条 第十九条 第二十二条 第二十四条 第十七条 第二十一条 第二十条  ,关于审理道路交通事故损害赔偿案件适用法律若干问题的解释 第十六条  ,	文本相似度0.8770023584365845
预期输出法条：中华人民共和国婚姻法 第三十二条  ,	预测结果：中华人民共和国物权法 第八十四条 第八十九条  ,中华人民共和国民法通则 第五条 第八十三条  ,	文本相似度0.6768783330917358
预期输出法条：中华人民共和国合同法 第二百零五条 第二百零六条 第二百零七条  ,	预测结果：中华人民共和国侵权责任法 第四十八条  ,机动车交通事故责任强制保险条例 第二十一条  ,中华人民共和国道路交通安全法 第七十六条  ,	文本相似度0.7536813616752625
预期输出法条：最高人民法院〈关于审理人身损害赔偿案件适用法律若干问题的解释〉 第二十三条 第十九条 第十七条 第二十一条 第二十条  ,中华人民共和国侵权责任法 第四十八条 第十六条  ,中华人民共和国道路交通安全法 第七十六条第一款第（一）项  ,最高人民法院关于审理交通事故损害赔偿案件适用法律若干问题解释 第十九条：&ldquo未依法投保交强险的机动车发生交通事故造成损害当事人请求投保义务人在交强险责任限额范围内予以赔偿的人民法院应予以支持&rdquo之规定被告周威应在交强险的医疗费用赔偿限额内赔偿原告医疗费10000元在伤残赔偿限额内赔偿原告护理费、误工费共计9180．02元原告的剩余损失即17129．1元根据本次事故责任的划分被告周威负事故的主要责任故被告周威应承担原告损失的70％赔偿责任即11990．4元被告刘姿负事故的次要责任应承担30％责任即5138．7元被告刘姿已向原告支付了2711元的赔偿款故其应承担的5138．7元可在此款  ,	预测结果：中华人民共和国婚姻法 第三十二条  ,最高人民法院关于﹤适用中华人民共和国民事诉讼法﹥的解释 第九十条  ,中华人民共和国民事诉讼法 第六十四条第一款  ,	文本相似度0.9512482285499573
预期输出法条：中华人民共和国婚姻法 第三十二条第二款  ,	预测结果：中华人民共和国民法通则 第一百零八条 第九十条  ,中华人民共和国民事诉讼法 第一百四十四条 第六十四条  ,	文本相似度0.8957006931304932
